trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
274,False,"{'a': 0.6, 'e': 0.06457034689316847}",35,18,34.68113876445326,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.6, 'e': 0.06392786120670757}",35,22,22.542111117341353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.6, 'e': 0.0632917683596407}",20,8,19.49903080911855,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.6, 'e': 0.06266200474215315}",20,11,10.679811702917787,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.6, 'e': 0.06203850737735829}",20,2,30.261882991176503,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.6, 'e': 0.06142121391500013}",25,15,18.877604783407246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.6, 'e': 0.06081006262521795}",20,6,15.927187115454249,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.6, 'e': 0.06020499239237354}",20,16,7.028966055211326,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.6, 'e': 0.05960594270893937}",20,7,22.503869179322074,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.6, 'e': 0.05901285366944784}",30,19,12.905155334206194,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.6, 'e': 0.05842566596450083}",30,17,24.68607397302425,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.6, 'e': 0.057844320874838456}",25,16,17.645574484851394,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.6, 'e': 0.05726876026546736}",25,20,9.364552440526108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.6, 'e': 0.0566989265798469}",25,14,24.377751651673563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.6, 'e': 0.056134762834133725}",20,12,17.437090578742406,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.6, 'e': 0.05557621261148306}",20,10,18.683418248436066,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.6, 'e': 0.05502322005640723}",25,15,17.743598006464737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.6, 'e': 0.05447572986918986}",25,20,10.050940894841021,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.6, 'e': 0.05393368730035602}",20,14,12.479646045722806,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.6, 'e': 0.053397038145197084}",20,15,4.659726912672675,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.6, 'e': 0.05286572873835037}",20,3,31.517783676575313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.6, 'e': 0.05233970594843238}",25,11,29.911365690983434,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.6, 'e': 0.05181891717272583}",35,12,45.36222346355999,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.6, 'e': 0.05130331033191911}",20,2,30.45753815262739,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.6, 'e': 0.0507928338648985}",25,20,10.497729256881327,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.6, 'e': 0.050287436723591865}",20,13,13.580363999387545,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.6, 'e': 0.049787068367863944}",20,12,15.3774257369308,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,12,17.65636919892857,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
